# U   kappa   energy   sem
0.0 0.008962025245387098 -23.987878583387936 3.0299357899746937e-5
1.0 0.19341912277146472 -19.306402669914785 0.00029995908212346935
2.0 0.3682154052535656 -15.585692919382936 0.0005011986556620774
3.0 0.5459965154826992 -12.470812572844013 0.0006754128811991498
4.0 0.7314188736906913 -9.827596007168873 0.0008408226818940031
5.0 0.9306982435330547 -7.59111194338849 0.0009917558534910567
6.0 1.1707191459074033 -5.7332119618331365 0.0011567557101865474
7.0 1.4452481656000364 -4.261013878115578 0.0012755642299015818
8.0 1.7628474470268076 -3.1437546927822364 0.0013980602378372165
9.0 2.1083766180037555 -2.3900818526456575 0.0015735918226543715
10.0 2.300287737286615 -1.8921922581840667 0.0015832407948537426
