# U   E_kin   E_kin_sem   E_pot   E_pot_sem
1.0 -23.31379103868848 0.0007141848182706021 4.025248618784531 0.0005494321547526296
2.0 -21.970972209254096 0.0012212399226893612 6.426428089297768 0.0008908880650613582
3.0 -20.26018543130911 0.0016086391946151018 7.884381515462113 0.0011402472393647254
4.0 -17.929202955155223 0.0019898439500739447 8.285447363815905 0.0013243756983166845
5.0 -17.63259085914915 0.0020197549285887644 10.074394390140247 0.0016325742467389846
6.0 -16.302896906555638 0.002179198810537731 10.60441538961526 0.001854196864763272
7.0 -13.747952797281515 0.0024017301887825112 9.520345616359592 0.001975972478733389
8.0 -13.637554084644888 0.002453820013131316 10.72820779480513 0.0022572179559954167
9.0 -11.625675229830504 0.002574906753805216 9.565190370240744 0.0023787886435563863
10.0 -8.868280917887109 0.0026898296459975167 7.24331141721457 0.002372625969627145
