# U   E_kin   E_kin_sem   E_pot   E_pot_sem
1.0 -30.907523582654452 0.0012162630021916657 12.24886836830458 0.001045419521912394
2.0 -29.556373683527024 0.001985179175560337 22.603381799969792 0.0017191223642462681
3.0 -28.238450282294455 0.0026446690290185273 32.24661786512413 0.0022292414676615257
4.0 -26.6057117105886 0.003431010964482054 41.10878650964647 0.0025547745881452687
5.0 -25.3419915193898 0.004052759997712825 50.03837214409021 0.002884399399271157
6.0 -24.585603026626742 0.004400208982253891 59.23279436778933 0.003271999998744712
7.0 -24.053632830516843 0.004724425469639461 68.49261581096536 0.0036950310260325317
8.0 -23.057026338326263 0.005308435387428186 77.10095711734229 0.004003462262660417
9.0 -22.870798254879965 0.005413738298552502 86.51097966752484 0.004466000816219682
10.0 -22.673928414053414 0.005578511765474898 95.84483997293259 0.00490397440561812
