method,ansatz,L,N,U,beta,pbc,mean_energy,sem_energy,mean_kinetic,sem_kinetic,mean_potential,sem_potential,source
VMC,Jastrow_realspace,4,2,0.0,,True,-4.0,0.0,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
QMC,QMC,4,2,1.0,8.0,True,-3.7591112499999997,0.07141821724674458,-3.9681562500000003,0.06650985643691076,0.20904499999999998,0.018949576436178006,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L4_N2/K_square_1D_4L_2N_PBC_1.000U_8.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L4_N2/V_square_1D_4L_2N_PBC_1.000U_8.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,4,2,1.0,,True,-3.785260864827076,2.1333355589415131e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,2.0,,True,-3.627213005296653,4.49746625312238e-17,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
QMC,QMC,4,2,3.0,8.0,True,-3.550770625,0.07357732774301255,-3.819090625,0.06726612406140922,0.26832,0.03972565514100314,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L4_N2/K_square_1D_4L_2N_PBC_3.000U_8.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L4_N2/V_square_1D_4L_2N_PBC_3.000U_8.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,4,2,3.0,,True,-3.508956082096787,2.374517372448649e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,4.0,,True,-3.4185507188702386,1.2720755542961954e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,5.0,,True,-3.3478904193467485,1.7454862951001458e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
QMC,QMC,4,2,6.0,8.0,True,-3.2279443749999994,0.08084457885471294,-3.5616343749999997,0.06396543260189176,0.33369,0.06056510280590174,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L4_N2/K_square_1D_4L_2N_PBC_6.000U_8.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L4_N2/V_square_1D_4L_2N_PBC_6.000U_8.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,4,2,6.0,,True,-3.29150262213056,1.5416537604183444e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,7.0,,True,-3.245653665606755,5.6195836333498e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,8.0,,True,-3.2077509432165425,1.2570800335616145e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,9.0,,True,-3.1759717694200464,4.0112217486407264e-07,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,4,2,10.0,,True,-3.1489462129509147,2.2118893852479653e-16,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L4_N2/jastrow_realspace/VMC_results.dat
