method,ansatz,L,N,U,beta,pbc,mean_energy,sem_energy,mean_kinetic,sem_kinetic,mean_potential,sem_potential,source
QMC,QMC,64,64,3.0,32.0,True,-70.42644250000001,0.5109931276690808,-112.9029625,0.2506972949972466,42.47652,0.44147426115722943,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L64_N64/K_square_1D_64L_64N_PBC_3.000U_32.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L64_N64/V_square_1D_64L_64N_PBC_3.000U_32.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,64,64,3.0,,True,-69.83542419761363,0.0019637875549484663,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L64_N64/jastrow_realspace/VMC_results.dat
QMC,QMC,64,64,3.3578,32.0,True,-65.30798132400027,0.5817682893127435,-109.75579140625,0.2713665342928469,44.447810082249724,0.5243731091202656,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L64_N64/K_square_1D_64L_64N_PBC_3.3578U_32.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L64_N64/V_square_1D_64L_64N_PBC_3.3578U_32.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,64,64,3.3578,,True,-65.78378203480598,0.011994189354940088,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L64_N64/jastrow_realspace/VMC_results.dat
VMC,Jastrow_realspace,64,64,6.7156,,True,33.291195381811704,0.014074256038191214,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L64_N64/jastrow_realspace/VMC_results.dat
