method,ansatz,L,N,U,beta,pbc,mean_energy,sem_energy,mean_kinetic,sem_kinetic,mean_potential,sem_potential,source
VMC,Jastrow_realspace,12,12,5.0,,True,-8.957413314901016,0.0015319548749775176,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,6.0,12.0,True,-7.750151154166577,0.03622582376742901,-15.077086854166577,0.0190538100352934,7.3269357,0.03570386323786392,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_6.000U_12.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_6.000U_12.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,6.0,,True,-7.454041608181013,0.0019485249278052143,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,7.0,12.0,True,-6.728201404166712,0.03512441618978101,-13.097491604166713,0.019878812264656796,6.3692902,0.03640581120035066,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_7.000U_12.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_7.000U_12.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,7.0,,True,-6.395937524274634,0.0018891800727492134,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,8.0,8.0,True,-5.87449805,0.038210144021128635,-11.62232125,0.02237588951188883,5.7478232,0.03977167012979675,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_8.000U_8.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_8.000U_8.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,8.0,,True,-5.62596195468136,0.001931082462946328,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,9.0,8.0,True,-5.2882110875,0.04129860366636766,-10.380108687500002,0.025476722341719486,5.091897599999999,0.042718178981831834,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_9.000U_8.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_9.000U_8.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,9.0,,True,-5.0306973109165085,0.0018346545585403687,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,10.0,8.0,True,-4.74773384375,0.03887917636705441,-9.37313284375,0.01898471825955764,4.625399,0.03894740180076395,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_10.000U_8.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_10.000U_8.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,10.0,,True,-4.553133821982133,0.0018055382308198387,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
