# U   kappa   energy   sem
1.0 0.179442595345242 -3.781999416234004 2.4624847230551086e-5
2.0 0.3403187208395482 -3.616219298535818 4.440995146433972e-5
3.0 0.4842750871827413 -3.48860956921252 6.034179151109422e-5
4.0 0.6144022007668875 -3.388405290521074 7.277354381735693e-5
5.0 0.7315593067709548 -3.3084890068113224 8.36076061767997e-5
6.0 0.8374854596093074 -3.2435682053839816 9.190197655952411e-5
7.0 0.9355476606658164 -3.189973117689111 9.878149114189037e-5
8.0 1.0241083227624204 -3.1453174222830924 0.0001042586997095541
9.0 1.1089608243197127 -3.1073294737940005 0.00010945423335103088
10.0 1.1837026213538822 -3.074674517779557 0.00011418095855466035
