# U   E_kin   E_kin_sem   E_pot   E_pot_sem
1.0 -3.970436029526338 7.367494531553361e-5 0.18843661329233385 6.901813199863181e-5
2.0 -3.9050177510551602 0.00013218782892046737 0.2887984525193435 0.00012407109754847002
3.0 -3.8251494874635417 0.000177670701280152 0.33653991825102186 0.00016664082355096434
4.0 -3.744323841539186 0.00021498335341313675 0.35591855101811226 0.00020170468064625575
5.0 -3.6667901530469944 0.00024293846536813858 0.35830114623567205 0.00022806897428861623
6.0 -3.5964924188313137 0.0002672135551388846 0.35292421344733194 0.0002510086197730254
7.0 -3.53251755463365 0.00028611242421474725 0.3425444369445382 0.0002680417418919347
8.0 -3.4759620392253794 0.00029990325901499225 0.3306446169422882 0.0002815320023106593
9.0 -3.4210447398531754 0.00031261581351156755 0.31371526605917427 0.00029178266366677847
10.0 -3.377096050010404 0.00032276501213941456 0.3024215322308471 0.00030224036052152264
