# U   kappa   energy   sem
1.0 0.20858983721074428 -14.59313313162796 0.0003798021546111883
2.0 0.3947889244667094 -13.58095918606634 0.0006632903543368073
3.0 0.5964305654432358 -12.817829219375778 0.0009341739467560501
4.0 0.7290369551616833 -12.242997476155807 0.001079374759505171
5.0 0.9746697429325479 -11.801076576987587 0.0013515281504609396
6.0 1.0107409945742618 -11.435736858149852 0.0013507329578553533
7.0 1.1431338014383756 -11.169660659898867 0.001458690360255285
8.0 1.1874742973680894 -10.911391252096273 0.001509234047792508
9.0 1.3457262583283454 -10.738033799541682 0.0015903078345767328
10.0 1.3317651900229373 -10.529948007376722 0.0016242983307517085
