# U   E_kin   E_kin_sem   E_pot   E_pot_sem
1.0 -15.766226434518153 0.0002084474783815836 1.2228656829289635 0.00017283984605043963
2.0 -15.317445854739317 0.0003501367005958635 1.844569442881964 0.00029432650922684816
3.0 -14.769687798374278 0.0004651643357181088 2.1005197435032064 0.0003850504538361248
4.0 -14.235318990839668 0.0005582812254099808 2.196397670029125 0.0004628747656949639
5.0 -13.696317308553425 0.0006264138148388478 2.1354261196735043 0.0005267927052997352
6.0 -13.234729143190446 0.0006763427380773287 2.0568056024299697 0.0005781079791598629
7.0 -12.796725350541774 0.0007246605682330383 1.9247512843589456 0.0006091374704807749
8.0 -12.417788111087727 0.0007490089210468827 1.793977075286559 0.0006283451453354018
9.0 -12.062049400206849 0.0007826504395822254 1.638485487681404 0.0006483286192190912
10.0 -11.783043464242027 0.0007994046800200484 1.5330114623567206 0.0006757495135643344
